REF_DATE,GEO,DGUID,Overtime,North American Industry Classification System (NAICS),UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2004-04-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,30.7,,,,1
2004-05-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,30.8,,,,1
2004-06-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,31,,,,1
2004-07-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,31.3,,,,1
2004-08-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,31.2,,,,1
2004-09-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,31.2,,,,1
2004-10-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,31,,,,1
2004-11-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,30.9,,,,1
2004-12-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,30.4,,,,1
2005-01-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,30.4,,,,1
2005-02-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,30.5,,,,1
2005-03-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,30.5,,,,1
2005-04-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,30.5,,,,1
2005-05-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,30.7,,,,1
2005-06-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,30.8,,,,1
2005-07-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,31.1,,,,1
2005-08-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,31.4,,,,1
2005-09-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,31.2,,,,1
2005-10-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,31,,,,1
2005-11-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,31,,,,1
2005-12-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,30.6,,,,1
2006-01-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,30.5,,,,1
2006-02-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,30.5,,,,1
2006-03-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,30.7,,,,1
2006-04-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,30.5,,,,1
2006-05-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,31,,,,1
2006-06-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,31.1,,,,1
2006-07-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,31.3,,,,1
2006-08-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,31.2,,,,1
2006-09-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,31,,,,1
2006-10-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,30.7,,,,1
2006-11-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,30.8,,,,1
2006-12-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,30.4,,,,1
2007-01-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,30.3,,,,1
2007-02-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,30.1,,,,1
2007-03-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,30.3,,,,1
2007-04-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,30.4,,,,1
2007-05-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,30.6,,,,1
2007-06-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,30.7,,,,1
2007-07-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,30.8,,,,1
2007-08-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,30.9,,,,1
2007-09-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,30.5,,,,1
2007-10-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,30.4,,,,1
2007-11-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,30.3,,,,1
2007-12-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,30,,,,1
2008-01-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,29.9,,,,1
2008-02-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,30,,,,1
2008-03-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,29.8,,,,1
2008-04-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,30.2,,,,1
2008-05-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,30.4,,,,1
2008-06-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,30.7,,,,1
2008-07-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,30.9,,,,1
2008-08-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,30.9,,,,1
2008-09-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,30.8,,,,1
2008-10-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,30.8,,,,1
2008-11-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,30.3,,,,1
2008-12-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,29.4,,,,1
2009-01-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,29.6,A,,,1
2009-02-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,29.7,A,,,1
2009-03-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,29.8,A,,,1
2009-04-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,29.7,A,,,1
2009-05-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,30.1,A,,,1
2009-06-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,30.4,A,,,1
2009-07-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,30.7,A,,,1
2009-08-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,30.7,A,,,1
2009-09-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,30.3,A,,,1
2009-10-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,30.2,A,,,1
2009-11-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,29.9,A,,,1
2009-12-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,29.4,A,,,1
2010-01-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,29.4,A,,,1
2010-02-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,29.7,A,,,1
2010-03-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,29.9,A,,,1
2010-04-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,30.3,A,,,1
2010-05-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,30.2,A,,,1
2010-06-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,30.5,A,,,1
2010-07-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,30.9,A,,,1
2010-08-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,30.9,A,,,1
2010-09-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,30.6,A,,,1
2010-10-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,30.5,A,,,1
2010-11-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,30.4,A,,,1
2010-12-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,29.9,A,,,1
2011-01-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,29.9,A,,,1
2011-02-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,30,A,,,1
2011-03-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,30.4,A,,,1
2011-04-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,30.1,A,,,1
2011-05-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,30.5,A,,,1
2011-06-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,30.6,A,,,1
2011-07-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,30.8,A,,,1
2011-08-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,31,A,,,1
2011-09-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,30.8,A,,,1
2011-10-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,30.7,A,,,1
2011-11-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,30.7,A,,,1
2011-12-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,29.9,A,,,1
2012-01-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,30,A,,,1
2012-02-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,30,A,,,1
