Dataset,context_factor,Model Type,Overall MAPE,Overall MASE,All Industries MAPE,Feature Indices
emp_h,6,baseline,0.08785956556146796,4.133876114898372,0.08785956556146796,
emp_h,6,baseline,0.0979659990830855,4.6094970137217555,0.0979659990830855,[0]
emp_h,6,baseline,0.09630928256294945,4.529924023429837,0.09630928256294945,"[0, 1]"
emp_h,6,baseline,0.09868006272749467,4.642349623833859,0.09868006272749467,"[0, 1, 2]"
emp_h,6,baseline,0.10650852593508633,5.010378065030443,0.10650852593508633,"[0, 1, 3]"
emp_h,6,baseline,0.09996040300889449,4.70232434549316,0.09996040300889449,"[0, 1, 4]"
emp_h,6,baseline,0.10154908353632147,4.775191549568762,0.10154908353632147,"[0, 1, 5]"
emp_h,6,baseline,0.09908580780029297,4.659880647238989,0.09908580780029297,"[0, 1, 6]"
emp_h,6,baseline,0.10128215226260098,4.763695004571288,0.10128215226260098,"[0, 1, 7]"
emp_h,6,baseline,0.10031941804018887,4.7181960126652065,0.10031941804018887,"[0, 1, 8]"
emp_h,6,baseline,0.10783743858337402,5.07045943029275,0.10783743858337402,"[0, 1, 9]"
emp_h,6,baseline,0.10067966851321133,4.7345275234074755,0.10067966851321133,"[0, 1, 10]"
emp_h,6,baseline,0.09078236601569435,4.272129064131056,0.09078236601569435,"[0, 1, 11]"
