Dataset,context_factor,Model Type,Overall MAPE,Overall MASE,All Industries MAPE,Feature Indices
emp,6,baseline,0.08942613129814465,3.3922157115547527,0.11198511990633878,
emp,6,baseline,0.08534929540121194,3.3018622101978345,0.11271129954944957,[0]
emp,6,baseline,0.08447867033608032,3.288930484812116,0.10773947022177956,"[0, 1]"
emp,6,baseline,0.08661443503065543,3.3222490007078087,0.10948081450028853,"[0, 1, 2]"
emp,6,baseline,0.08498833226886664,3.3092170448432667,0.10873394662683661,"[0, 1, 3]"
emp,6,baseline,0.08621292279073688,3.334232101594917,0.11585390567779541,"[0, 1, 4]"
emp,6,baseline,0.08833970981791166,3.3836988751692423,0.1091747825795954,"[0, 1, 5]"
emp,6,baseline,0.08607781689726945,3.322650997834872,0.11127074198289351,"[0, 1, 6]"
emp,6,baseline,0.08731818436221643,3.3429354883105806,0.11525507406754927,"[0, 1, 7]"
emp,6,baseline,0.08631353328625362,3.3496499718465564,0.11132153597745029,"[0, 1, 8]"
emp,6,baseline,0.08552536007129785,3.2672838726492355,0.10883116722106934,"[0, 1, 9]"
emp,6,baseline,0.08689226221406099,3.337542346910888,0.10763329809362238,"[0, 1, 10]"
emp,6,baseline,0.08682610670273953,3.3218741795272853,0.11173088984055952,"[0, 1, 11]"
