Dataset,context_factor,Model Type,Overall MAPE,Overall MASE,All Industries MAPE,Feature Indices
emp_h,6,baseline,0.09966516494750977,4.692606233461279,0.09966516494750977,
emp_h,6,baseline,0.1052473783493042,4.9554288253598475,0.1052473783493042,[0]
emp_h,6,baseline,0.11241980032487349,5.292093055375332,0.11241980032487349,"[0, 1]"
emp_h,6,baseline,0.10760242288762872,5.06383051520608,0.10760242288762872,"[0, 2]"
emp_h,6,baseline,0.10492446205832741,4.936626843816646,0.10492446205832741,"[0, 3]"
emp_h,6,baseline,0.10015179894187233,4.716877046226486,0.10015179894187233,"[0, 3, 4]"
emp_h,6,baseline,0.09891116619110107,4.657778534593449,0.09891116619110107,"[0, 3, 4, 5]"
emp_h,6,baseline,0.10169035738164728,4.788323196466222,0.10169035738164728,"[0, 3, 4, 5, 6]"
emp_h,6,baseline,0.09940771623091264,4.6787488258584595,0.09940771623091264,"[0, 3, 4, 5, 7]"
emp_h,6,baseline,0.10771193287589333,5.068727262166384,0.10771193287589333,"[0, 3, 4, 5, 8]"
emp_h,6,baseline,0.10059903968464244,4.735319865544293,0.10059903968464244,"[0, 3, 4, 5, 9]"
emp_h,6,baseline,0.09592899409207431,4.514430958053618,0.09592899409207431,"[0, 3, 4, 5, 10]"
emp_h,6,baseline,0.1053347262469205,4.958170598967786,0.1053347262469205,"[0, 3, 4, 5, 10, 11]"
