Dataset,context_factor,Model Type,Overall MAPE,Overall MASE,All Industries MAPE
emp,6,fine_tuned,0.1295222599962444,4.0739034999268675,0.026087159460241146
emp,6,fine_tuned,0.06588262031701478,2.6145226175479057,0.038488279689442025
emp,6,fine_tuned,0.04592032843466961,1.6805854037338637,0.012248284437439659
emp,6,fine_tuned,0.053629202485987626,2.103365358957108,0.01886882023377852
emp,6,fine_tuned,0.07456930286505005,2.651720855454465,0.08215935121883046
earn,6,fine_tuned,0.029603923016712684,1.0514783158438548,0.005602570081299002
earn,6,fine_tuned,0.029930441678801843,1.0613370396051052,0.01010938598351045
earn,6,fine_tuned,0.027263782702940553,0.9979363218457834,0.006847445937720212
earn,6,fine_tuned,0.04683606468202655,1.6819240037615741,0.027783437208695846
