Dataset,context_factor,Model Type,Overall MAPE,Overall MASE,All Industries MAPE,Feature Indices
emp_h,6,baseline,0.09221880002455278,4.337728096494149,0.09221880002455278,
emp_h,6,baseline,0.10667555982416327,5.0183699548693275,0.10667555982416327,[0]
emp_h,6,baseline,0.09799830480055376,4.610559348074768,0.09799830480055376,"[0, 1]"
emp_h,6,baseline,0.10012829303741455,4.709661334231539,0.10012829303741455,"[0, 1, 2]"
emp_h,6,baseline,0.08752061020244252,4.11645948270843,0.08752061020244252,"[0, 1, 3]"
emp_h,6,baseline,0.0962640263817527,4.528578217619263,0.0962640263817527,"[0, 1, 3, 4]"
emp_h,6,baseline,0.10552688078446822,4.961929055849778,0.10552688078446822,"[0, 1, 3, 5]"
emp_h,6,baseline,0.10408801382238214,4.895520625884389,0.10408801382238214,"[0, 1, 3, 6]"
emp_h,6,baseline,0.10632209344343706,5.001916761041579,0.10632209344343706,"[0, 1, 3, 7]"
emp_h,6,baseline,0.10593419725244696,4.9825942162543395,0.10593419725244696,"[0, 1, 3, 8]"
emp_h,6,baseline,0.09371169046922163,4.408686653521092,0.09371169046922163,"[0, 1, 3, 9]"
emp_h,6,baseline,0.09519186886874112,4.477376983145656,0.09519186886874112,"[0, 1, 3, 10]"
emp_h,6,baseline,0.10318934917449951,4.853350372766128,0.10318934917449951,"[0, 1, 3, 11]"
