Dataset,Finetuned MAPE,Baseline MAPE,Finetuned MASE,Baseline MASE,Finetuned All Industries MAPE,Baseline All Industries MAPE
emp,0.025926384014180962,0.07659659886525737,0.8687655581965074,3.085953853499921,0.010565282156070074,0.1100852092107137
earn,0.026490747731066112,0.08154180132304177,0.9655145826966411,3.2102416627479586,0.009628131364782652,0.07483712335427602
hours,0.03058800073340535,0.04269537764290968,1.1449624508189093,1.6689538745916572,0.010008404031395912,0.023913453022638958
job,0.2063530899229504,0.24900033237442137,0.7741421482376284,0.979479259569179,0.07150481641292572,0.1503134568532308
