Dataset,context_factor,Model Type,Overall MAPE,Overall MASE,All Industries MAPE,Feature Indices
emp,6,baseline,0.08489826174848007,3.3139660026465934,0.11290228366851807,
emp,6,baseline,0.08686538469610793,3.364062245725266,0.11449260061437433,[0]
emp,6,baseline,0.08689556011196338,3.360339295084229,0.1118875200098211,"[0, 1]"
emp,6,baseline,0.08593340697839404,3.3228614222951385,0.11423090371218594,"[0, 2]"
emp,6,baseline,0.08673552378560558,3.3360912871616626,0.10744359276511452,"[0, 2, 3]"
emp,6,baseline,0.08668498999693176,3.3265427511055123,0.11358105052601207,"[0, 2, 4]"
emp,6,baseline,0.0867714195540457,3.349261909768066,0.10832451690327037,"[0, 2, 5]"
emp,6,baseline,0.0869903876022859,3.3228957646836386,0.11283708702434193,"[0, 2, 6]"
emp,6,baseline,0.08674277658715392,3.3231031136215177,0.11321594498374245,"[0, 2, 7]"
emp,6,baseline,0.0877258890505993,3.3676288631071443,0.1103934266350486,"[0, 2, 8]"
emp,6,baseline,0.08690787422837631,3.360800408848126,0.11167278073050758,"[0, 2, 9]"
emp,6,baseline,0.08641178104462044,3.3248561859761554,0.1142420768737793,"[0, 2, 10]"
emp,6,baseline,0.08649343511823453,3.3012523814258383,0.11007118225097656,"[0, 2, 11]"
